date,playerA_id,playerB_id,winner_id,a_games_won,b_games_won,a_points,b_points,a_serve_rallies,a_serve_wins,b_serve_rallies,b_serve_wins,a_short_serve_rate,a_flick_serve_rate,a_attack_rate,a_neutral_rate,a_safe_rate,b_short_serve_rate,b_flick_serve_rate,b_attack_rate,b_neutral_rate,b_safe_rate,tournament,round,duration_min,match_sets,avg_rally_len,long_rally_share,a_backhand_rate,b_backhand_rate,a_aroundhead_rate,b_aroundhead_rate,a_net_error_lost_rate,b_net_error_lost_rate,a_out_error_lost_rate,b_out_error_lost_rate,a_short_serve_win_rate,b_short_serve_win_rate,a_long_serve_win_rate,b_long_serve_win_rate,a_short_serve_samples,b_short_serve_samples,a_long_serve_samples,b_long_serve_samples
2020-01-10,jonatan_christie,ng_ka_long_angus,ng_ka_long_angus,1,2,45,50,50,26,46,26,0.92,0.08,0.3217,0.0862,0.5921,1.0,0.0,0.2582,0.0845,0.6573,Malaysia Masters 2020,Quarter-finals,65,3,9.9062,0.5833,0.4676,0.4343,0.0397,0.0424,0.34,0.2889,0.36,0.3333,0.5217,0.5652,0.5,0.5,46,46,4,0
2020-01-10,viktor_axelsen,chen_long,viktor_axelsen,2,1,48,43,39,20,49,22,0.9744,0.0256,0.2598,0.1127,0.6275,0.9796,0.0204,0.3114,0.1519,0.5367,Malaysia Masters 2020,Quarter-finals,68,3,8.5047,0.3832,0.3974,0.4027,0.0302,0.047,0.3256,0.3125,0.4419,0.2292,0.5263,0.4583,0.0,0.0,38,48,1,1
2020-01-11,ng_ka_long_angus,viktor_axelsen,viktor_axelsen,0,2,21,32,24,6,26,12,0.9167,0.0833,0.2789,0.1593,0.5618,0.9231,0.0769,0.2267,0.1336,0.6397,Malaysia Masters 2020,Semi-finals,44,2,7.6892,0.3919,0.3665,0.4306,0.1423,0.066,0.3438,0.3333,0.3125,0.2381,0.2273,0.4583,0.5,0.5,22,24,2,2
2020-01-12,viktor_axelsen,kento_momota,kento_momota,0,2,20,31,11,4,38,24,0.6364,0.3636,0.2536,0.1758,0.5706,1.0,0.0,0.2282,0.1862,0.5856,Malaysia Masters 2020,Finals,54,2,9.6923,0.4103,0.4274,0.374,0.0264,0.1353,0.2258,0.3,0.4194,0.4,0.4286,0.6316,0.25,0.5,7,38,4,0
2020-01-17,jonatan_christie,anders_antonsen,anders_antonsen,1,2,44,52,45,20,52,27,0.9333,0.0667,0.3644,0.128,0.5076,0.8654,0.1346,0.3261,0.1065,0.5674,Indonesia Masters 2020,Quarter-finals,68,3,10.4948,0.5979,0.3834,0.4316,0.1364,0.1387,0.4038,0.3409,0.2885,0.4318,0.4048,0.5111,1.0,0.5714,42,45,3,7
2020-01-18,anthony_sinisuka_ginting,viktor_axelsen,anthony_sinisuka_ginting,2,0,34,24,35,18,25,8,1.0,0.0,0.3226,0.0737,0.6037,0.88,0.12,0.2183,0.0743,0.7074,Indonesia Masters 2020,Semi-finals,43,2,8.4333,0.4667,0.4206,0.4409,0.0278,0.0394,0.2917,0.4706,0.3333,0.2941,0.5143,0.3182,0.5,0.3333,35,22,0,3
2020-01-19,anthony_sinisuka_ginting,anders_antonsen,anthony_sinisuka_ginting,2,1,52,35,41,22,45,16,0.9756,0.0244,0.2837,0.1543,0.562,0.7111,0.2889,0.2765,0.176,0.5475,Indonesia Masters 2020,Finals,71,3,7.9231,0.375,0.3705,0.4442,0.0974,0.1141,0.4286,0.2692,0.2857,0.3077,0.525,0.4062,1.0,0.2308,40,32,1,13
2020-01-25,ng_ka_long_angus,shi_yuqi,ng_ka_long_angus,2,0,42,37,41,19,38,15,1.0,0.0,0.3555,0.1827,0.4618,0.9737,0.0263,0.29,0.1767,0.5333,Thailand Masters 2020,Semi-finals,37,2,8.6076,0.4937,0.4298,0.432,0.0,0.0,0.4054,0.3333,0.2432,0.2381,0.4634,0.3784,0.5,1.0,41,37,0,1
2020-03-13,viktor_axelsen,shi_yuqi,viktor_axelsen,2,0,16,12,17,9,5,2,0.8235,0.1765,0.2821,0.1538,0.5641,1.0,0.0,0.368,0.104,0.528,All England Open 2020,Quarter-finals,40,2,4.875,0.25,0.4037,0.2848,0.0683,0.0795,0.25,0.5625,0.6667,0.25,0.5714,0.4,0.3333,0.5,14,5,3,0
2021-01-15,carolina_marin,supanida_katethong,carolina_marin,2,0,41,32,27,13,22,6,0.8519,0.1481,0.292,0.1423,0.5657,0.7273,0.2727,0.2776,0.153,0.5694,YONEX THAILAND OPEN 2021,Quarter-finals,44,2,8.5,0.4595,0.3905,0.3185,0.1905,0.1369,0.4375,0.4146,0.2188,0.2683,0.4783,0.375,0.5,0.0,23,16,4,6
2021-01-15,jonatan_christie,viktor_axelsen,viktor_axelsen,0,2,18,38,11,5,13,9,1.0,0.0,0.3035,0.1885,0.508,1.0,0.0,0.2542,0.097,0.6488,YONEX THAILAND OPEN 2021,Quarter-finals,40,2,11.0328,0.623,0.3033,0.3824,0.2102,0.1059,0.3684,0.2222,0.2895,0.3333,0.4545,0.6923,0.5,0.5,11,13,0,0
2021-01-15,rasmus_gemke,anthony_sinisuka_ginting,anthony_sinisuka_ginting,1,2,39,57,17,5,18,11,0.7647,0.2353,0.2579,0.1608,0.5813,0.7778,0.2222,0.3562,0.178,0.4658,YONEX THAILAND OPEN 2021,Quarter-finals,66,3,11.3737,0.5657,0.3982,0.3287,0.1315,0.0839,0.2456,0.3846,0.2982,0.359,0.3077,0.6429,0.25,0.5,13,14,4,4
2021-01-15,mia_blichfeldt,busanan_ongbamrungphan,mia_blichfeldt,2,0,39,30,11,7,12,7,1.0,0.0,0.3333,0.2421,0.4246,0.0833,0.9167,0.2727,0.1818,0.5455,YONEX THAILAND OPEN 2021,Quarter-finals,45,2,8.3,0.4714,0.3082,0.263,0.137,0.1176,0.3667,0.3077,0.3333,0.359,0.6364,0.0,0.5,0.6364,11,1,0,11
2021-01-15,an_se_young,ratchanok_intanon,an_se_young,2,0,42,32,20,10,21,9,1.0,0.0,0.3497,0.1608,0.4895,0.1905,0.8095,0.3621,0.2725,0.3654,YONEX THAILAND OPEN 2021,Quarter-finals,44,2,8.84,0.5067,0.3313,0.3807,0.1235,0.0725,0.4062,0.5238,0.2812,0.2857,0.5,0.0,0.5,0.5294,20,4,0,17
2021-01-15,lee_cheuk_yiu,ng_ka_long_angus,ng_ka_long_angus,0,2,28,41,10,4,20,9,0.9,0.1,0.2913,0.1759,0.5328,1.0,0.0,0.2799,0.1522,0.5679,YONEX THAILAND OPEN 2021,Quarter-finals,44,2,11.6761,0.5915,0.3559,0.3438,0.0387,0.0577,0.3902,0.4643,0.3415,0.2143,0.3333,0.45,1.0,0.5,9,20,1,0
2021-01-16,anthony_sinisuka_ginting,viktor_axelsen,viktor_axelsen,1,2,52,52,12,8,26,17,1.0,0.0,0.3603,0.2106,0.4291,0.6923,0.3077,0.2975,0.1694,0.5331,YONEX THAILAND OPEN 2021,Semi-finals,63,3,10.2336,0.5327,0.2632,0.3676,0.0,0.0,0.4231,0.1346,0.2692,0.4231,0.6667,0.7222,0.5,0.5,12,18,0,8
2021-01-17,ng_ka_long_angus,viktor_axelsen,viktor_axelsen,0,2,27,41,14,6,17,12,1.0,0.0,0.3507,0.1593,0.49,1.0,0.0,0.2283,0.1392,0.6325,YONEX THAILAND OPEN 2021,Finals,44,2,12.4928,0.7246,0.2713,0.3958,0.0483,0.0164,0.4146,0.1852,0.3659,0.2222,0.4286,0.7059,0.5,0.5,14,17,0,0
2021-01-22,ratchanok_intanon,pusarla_v_sindhu,ratchanok_intanon,2,0,40,21,18,11,4,1,0.6111,0.3889,0.3413,0.246,0.4127,0.75,0.25,0.2261,0.2145,0.5594,TOYOTA THAILAND OPEN 2021,Quarter-finals,38,2,9.1094,0.5938,0.2399,0.3763,0.1655,0.0871,0.4286,0.325,0.2857,0.275,0.6364,0.3333,0.5714,0.0,11,3,7,1
2021-01-22,hans-kristian_solberg_vittinghus,lee_cheuk_yiu,hans-kristian_solberg_vittinghus,2,1,61,53,40,19,31,13,0.85,0.15,0.282,0.1331,0.5849,1.0,0.0,0.2887,0.1391,0.5722,TOYOTA THAILAND OPEN 2021,Quarter-finals,77,3,11.0696,0.5739,0.4203,0.3839,0.0969,0.0695,0.4151,0.4262,0.2642,0.1803,0.4706,0.4194,0.5,0.5,34,31,6,0
2021-01-22,viktor_axelsen,liew_daren,viktor_axelsen,2,0,38,30,22,11,14,6,0.9091,0.0909,0.2072,0.1195,0.6733,0.9286,0.0714,0.2985,0.1567,0.5448,TOYOTA THAILAND OPEN 2021,Quarter-finals,41,2,8.2083,0.4583,0.4096,0.3591,0.0648,0.1007,0.1333,0.1316,0.2333,0.6316,0.5,0.4615,0.5,0.0,20,13,2,1
2021-01-22,anders_antonsen,sameer_verma,anders_antonsen,2,1,62,54,34,17,16,9,0.5588,0.4412,0.2486,0.11,0.6414,0.9375,0.0625,0.3133,0.1075,0.5792,TOYOTA THAILAND OPEN 2021,Quarter-finals,81,3,10.3793,0.5172,0.4164,0.2739,0.0217,0.0446,0.3704,0.4516,0.1852,0.2903,0.4211,0.6,0.6,0.0,19,15,15,1
2021-01-22,an_se_young,pornpawee_chochuwong,an_se_young,2,0,42,33,25,13,14,8,0.96,0.04,0.3634,0.2102,0.4264,0.3571,0.6429,0.4336,0.1741,0.3923,TOYOTA THAILAND OPEN 2021,Quarter-finals,44,2,9.96,0.4667,0.3155,0.3753,0.1524,0.0617,0.4242,0.3333,0.2727,0.381,0.5,0.8,1.0,0.4444,24,5,1,9
2021-01-22,carolina_marin,neslihan_yigit,carolina_marin,2,0,42,21,36,23,20,7,0.9167,0.0833,0.3665,0.2082,0.4253,0.7,0.3,0.3004,0.1717,0.5279,TOYOTA THAILAND OPEN 2021,Quarter-finals,34,2,8.2222,0.4603,0.4411,0.4275,0.1065,0.0667,0.5238,0.381,0.2857,0.3333,0.6364,0.4286,0.6667,0.1667,33,14,3,6
2021-01-23,an_se_young,carolina_marin,carolina_marin,0,2,34,42,21,7,17,11,0.5714,0.4286,0.3304,0.1309,0.5387,0.8235,0.1765,0.2471,0.1482,0.6047,TOYOTA THAILAND OPEN 2021,Semi-finals,51,2,10.0658,0.5395,0.3377,0.3938,0.0897,0.0829,0.3095,0.4118,0.2619,0.3235,0.1667,0.5714,0.5556,1.0,12,14,9,3
2021-01-23,hans-kristian_solberg_vittinghus,anders_antonsen,hans-kristian_solberg_vittinghus,2,0,42,27,10,6,13,4,1.0,0.0,0.2761,0.1227,0.6012,0.6154,0.3846,0.2697,0.197,0.5333,TOYOTA THAILAND OPEN 2021,Semi-finals,45,2,10.6522,0.6232,0.3199,0.3939,0.1102,0.1708,0.3704,0.381,0.2963,0.1905,0.6,0.5,0.5,0.0,10,8,0,5
2021-01-24,viktor_axelsen,hans-kristian_solberg_vittinghus,viktor_axelsen,2,0,41,18,27,19,8,1,1.0,0.0,0.3478,0.1242,0.528,0.875,0.125,0.2849,0.1958,0.5193,TOYOTA THAILAND OPEN 2021,Finals,40,2,12.1167,0.5833,0.406,0.275,0.0926,0.2306,0.3889,0.3659,0.3333,0.3171,0.7037,0.1429,0.5,0.0,27,7,0,1
2021-01-29,ng_ka_long_angus,kidambi_srikanth,ng_ka_long_angus,2,1,53,57,37,19,35,21,1.0,0.0,0.2791,0.1664,0.5545,1.0,0.0,0.2957,0.1535,0.5508,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,65,3,10.7143,0.5804,0.3601,0.3847,0.129,0.1061,0.386,0.3019,0.1404,0.3208,0.5135,0.6,0.5,0.5,37,35,0,0
2021-01-29,an_se_young,carolina_marin,an_se_young,2,1,55,53,25,13,27,13,0.0,1.0,0.284,0.2278,0.4882,0.8889,0.1111,0.4904,0.2658,0.2438,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,55,3,7.4,0.3636,0.2684,0.2959,0.1646,0.2387,0.283,0.5818,0.1887,0.3091,0.5,0.5,0.52,0.3333,0,24,25,3
2021-01-29,anthony_sinisuka_ginting,lee_zii_jia,anthony_sinisuka_ginting,2,1,56,46,41,24,31,15,1.0,0.0,0.3844,0.1907,0.4249,0.9677,0.0323,0.3241,0.1717,0.5042,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,50,3,7.9126,0.3981,0.437,0.3951,0.1481,0.1098,0.3261,0.3929,0.2391,0.3571,0.5854,0.5,0.5,0.0,41,30,0,1
2021-01-29,evgeniya_kosetskaya,michelle_li,evgeniya_kosetskaya,2,0,46,33,31,18,22,6,0.5161,0.4839,0.2899,0.2983,0.4118,0.0,1.0,0.3173,0.249,0.4337,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,34,2,7.1899,0.4051,0.3286,0.2842,0.1272,0.1439,0.2727,0.2826,0.303,0.3913,0.5625,0.5,0.6,0.2727,16,0,15,22
2021-01-29,pornpawee_chochuwong,pusarla_v_sindhu,pusarla_v_sindhu,0,2,32,42,19,6,17,9,0.0,1.0,0.3617,0.2199,0.4184,0.2353,0.7647,0.3701,0.2313,0.3986,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,42,2,8.5867,0.4267,0.279,0.2523,0.1411,0.1692,0.2857,0.3125,0.1905,0.2812,0.5,0.25,0.3158,0.6154,0,4,19,13
2021-01-30,pornpawee_chochuwong,carolina_marin,carolina_marin,0,2,26,42,13,5,31,20,1.0,0.0,0.4125,0.1789,0.4086,0.871,0.129,0.2561,0.248,0.4959,HSBC BWF WORLD TOUR FINALS 2020,Semi-finals,40,2,8.4853,0.5,0.3986,0.3883,0.1329,0.1168,0.3333,0.3846,0.3095,0.2308,0.3846,0.6667,0.5,0.5,13,27,0,4
2021-01-31,viktor_axelsen,anders_antonsen,anders_antonsen,1,2,54,46,42,25,43,21,0.619,0.381,0.2545,0.1208,0.6247,0.7209,0.2791,0.2814,0.2111,0.5075,HSBC BWF WORLD TOUR FINALS 2020,Finals,60,3,8.8614,0.4455,0.3781,0.3326,0.0828,0.1719,0.2174,0.2963,0.413,0.3889,0.5,0.4516,0.75,0.5833,26,31,16,12
